"OverallQual","Neighborhood","GarageCars","LandSlope","GrLivArea","WoodDeckSF","MSZoning","SaleType","BsmtUnfSF","YearRemodAdd","HouseStyle","BsmtQual","SalesPrice"
7,"CollgCr",2.0,"Gtl",1710,0,"RL","WD",150.0,2003,"2Story","Gd",208500.00000000012
6,"Veenker",2.0,"Gtl",1262,298,"RL","WD",284.0,1976,"1Story","Gd",181499.99999999988
7,"CollgCr",2.0,"Gtl",1786,0,"RL","WD",434.0,2002,"2Story","Gd",223500.0
7,"Crawfor",3.0,"Gtl",1717,0,"RL","WD",540.0,1970,"2Story","TA",139999.9999999999
8,"NoRidge",3.0,"Gtl",2198,192,"RL","WD",490.0,2000,"2Story","Gd",249999.99999999983
5,"Mitchel",2.0,"Gtl",1362,40,"RL","WD",64.0,1995,"1.5Fin","Gd",142999.9999999999
8,"Somerst",2.0,"Gtl",1694,255,"RL","WD",317.0,2005,"1Story","Ex",306999.9999999998
7,"NWAmes",2.0,"Gtl",2090,235,"RL","WD",216.0,1973,"2Story","Gd",200000.00000000006
7,"OldTown",2.0,"Gtl",1774,90,"RM","WD",952.0,1950,"1.5Fin","TA",129899.99999999996
5,"BrkSide",1.0,"Gtl",1077,0,"RL","WD",140.0,1950,"1.5Unf","TA",117999.99999999991
5,"Sawyer",1.0,"Gtl",1040,0,"RL","WD",134.0,1965,"1Story","TA",129499.99999999991
9,"NridgHt",3.0,"Gtl",2324,147,"RL","New",177.0,2006,"2Story","Ex",345000.00000000006
5,"Sawyer",1.0,"Gtl",912,140,"RL","WD",175.0,1962,"1Story","TA",144000.00000000012
7,"CollgCr",3.0,"Gtl",1494,160,"RL","New",1494.0,2007,"1Story","Gd",279500.0000000001
6,"NAmes",1.0,"Gtl",1253,0,"RL","WD",520.0,1960,"1Story","TA",156999.9999999999
7,"BrkSide",2.0,"Gtl",854,48,"RM","WD",832.0,2001,"1.5Unf","TA",131999.99999999994
6,"NAmes",2.0,"Gtl",1004,0,"RL","WD",426.0,1970,"1Story","TA",149000.00000000012
4,"Sawyer",2.0,"Gtl",1296,0,"RL","WD",0.0,1967,"1Story","_NA",89999.99999999997
5,"SawyerW",2.0,"Gtl",1114,0,"RL","WD",468.0,2004,"1Story","TA",158999.99999999997
5,"NAmes",1.0,"Gtl",1339,0,"RL","COD",525.0,1965,"1Story","TA",138999.99999999994
8,"NridgHt",3.0,"Gtl",2376,240,"RL","New",1158.0,2006,"2Story","Ex",325300.0000000001
7,"IDOTRR",1.0,"Gtl",1108,0,"RM","WD",637.0,1950,"1.5Unf","TA",139400.00000000012
8,"CollgCr",2.0,"Gtl",1795,171,"RL","WD",1777.0,2002,"1Story","Gd",230000.0000000002
5,"MeadowV",2.0,"Gtl",1060,100,"RM","WD",200.0,1976,"1Story","Gd",129899.99999999996
5,"Sawyer",1.0,"Gtl",1060,406,"RL","WD",204.0,2001,"1Story","TA",154000.00000000003
8,"NridgHt",3.0,"Gtl",1600,0,"RL","WD",1566.0,2007,"1Story","Gd",256299.99999999983
5,"NAmes",2.0,"Gtl",900,222,"RL","WD",180.0,2000,"1Story","TA",134800.00000000006
8,"NridgHt",3.0,"Gtl",1704,0,"RL","WD",486.0,2008,"1Story","Ex",305999.9999999999
5,"NAmes",1.0,"Gtl",1600,288,"RL","WD",207.0,1997,"1Story","TA",207499.99999999985
4,"BrkSide",1.0,"Gtl",520,49,"RM","WD",520.0,1950,"1Story","TA",68500.00000000004
4,"IDOTRR",1.0,"Gtl",1317,0,"C (all)","WD",649.0,1950,"2Story","TA",39999.99999999997
5,"Sawyer",1.0,"Gtl",1228,0,"RL","WD",1228.0,2006,"1Story","TA",149349.99999999988
8,"CollgCr",2.0,"Gtl",1234,0,"RL","WD",1234.0,2007,"1Story","Ex",179900.0
5,"NAmes",2.0,"Gtl",1700,0,"RL","WD",380.0,1959,"1Story","TA",165499.99999999994
9,"NridgHt",2.0,"Gtl",1561,203,"RL","WD",408.0,2005,"1Story","Ex",277499.9999999999
8,"NridgHt",3.0,"Gtl",2452,113,"RL","WD",1117.0,2005,"2Story","Ex",308999.99999999977
5,"CollgCr",2.0,"Gtl",1097,392,"RL","WD",1097.0,1995,"1Story","Gd",144999.99999999994
5,"NAmes",2.0,"Gtl",1297,0,"RL","WD",84.0,1990,"1Story","TA",152999.99999999994
5,"NAmes",1.0,"Gtl",1057,0,"RL","WD",326.0,2007,"1Story","TA",108999.99999999994
4,"Edwards",0.0,"Gtl",1152,0,"RL","WD",0.0,1955,"1Story","_NA",81999.99999999993
6,"NAmes",2.0,"Gtl",1324,0,"RL","WD",445.0,1965,"1Story","TA",159999.9999999999
5,"Timber",1.0,"Gtl",1328,0,"RL","WD",383.0,1959,"1Story","TA",170000.0
5,"SawyerW",2.0,"Gtl",884,240,"RL","WD",0.0,1983,"SFoyer","Gd",144000.00000000012
5,"CollgCr",1.0,"Gtl",938,145,"RL","WD",167.0,1980,"1Story","Gd",130250.00000000006
5,"NAmes",1.0,"Gtl",1150,0,"RL","WD",465.0,1959,"1Story","TA",141000.0
9,"NridgHt",2.0,"Gtl",1752,196,"RL","WD",1296.0,2005,"1Story","Ex",319899.99999999977
7,"Mitchel",2.0,"Gtl",2149,168,"RL","WD",83.0,2003,"1.5Fin","Ex",239685.99999999994
8,"Somerst",3.0,"Gtl",1656,0,"FV","WD",1632.0,2006,"1Story","Gd",249699.99999999997
4,"OldTown",0.0,"Gtl",1452,0,"RM","New",736.0,2008,"2Story","TA",113000.0
5,"Sawyer",1.0,"Gtl",955,0,"RL","WD",192.0,1966,"1Story","TA",126999.99999999996
6,"Gilbert",2.0,"Gtl",1470,0,"RL","WD",612.0,1997,"2Story","Gd",177000.00000000006
6,"BrkSide",2.0,"Gtl",1176,112,"RM","WD",816.0,1950,"1.5Fin","TA",114500.0000000001
5,"IDOTRR",2.0,"Mod",816,106,"RM","WD",0.0,1963,"1Story","Gd",109999.99999999991
9,"Veenker",3.0,"Gtl",1842,857,"RL","WD",32.0,1987,"1Story","Ex",384999.9999999997
5,"NAmes",2.0,"Mod",1360,0,"RL","WD",0.0,1955,"SLvl","TA",130000.00000000006
6,"NAmes",2.0,"Gtl",1425,0,"RL","WD",935.0,1964,"1Story","TA",180499.99999999988
8,"Somerst",2.0,"Gtl",1739,115,"FV","WD",321.0,2000,"2Story","Gd",172500.0
7,"CollgCr",2.0,"Gtl",1720,0,"RL","WD",860.0,2004,"2Story","Gd",196500.00000000012
10,"StoneBr",3.0,"Gtl",2945,192,"RL","New",1410.0,2006,"2Story","Ex",438779.99999999994
5,"CollgCr",1.0,"Gtl",780,196,"RL","WD",148.0,1972,"1Story","TA",124900.00000000004
6,"SawyerW",2.0,"Gtl",1158,0,"RL","New",217.0,2004,"1Story","Gd",158000.00000000012
5,"IDOTRR",1.0,"Gtl",1111,0,"RM","WD",530.0,1996,"2.5Unf","TA",100999.99999999991
8,"NridgHt",2.0,"Gtl",1370,120,"RL","WD",1346.0,2006,"1Story","Gd",202500.00000000003
7,"OldTown",2.0,"Gtl",1710,12,"RM","WD",576.0,1950,"2Story","TA",139999.9999999999
7,"CollgCr",2.0,"Gtl",2034,576,"RL","WD",318.0,1998,"2Story","Gd",219499.99999999997
8,"NridgHt",3.0,"Gtl",2473,192,"RL","WD",1143.0,2005,"2Story","Ex",316999.9999999998
7,"NAmes",2.0,"Gtl",2207,301,"RL","WD",1035.0,1989,"1Story","Gd",179999.99999999997
7,"CollgCr",2.0,"Gtl",1479,144,"RL","WD",440.0,2003,"1Story","Gd",226000.00000000003
4,"OldTown",1.0,"Gtl",747,0,"RM","WD",747.0,1950,"1Story","TA",79999.99999999994
7,"ClearCr",2.0,"Gtl",2287,0,"RL","WD",701.0,1953,"1.5Fin","TA",225000.00000000015
7,"NAmes",2.0,"Gtl",2223,300,"RL","WD",343.0,1973,"1Story","Gd",243999.9999999998
4,"Mitchel",2.0,"Gtl",845,0,"RL","WD",280.0,2006,"1Story","TA",129499.99999999991
7,"Gilbert",2.0,"Gtl",1718,0,"RL","WD",832.0,1998,"2Story","Gd",185000.00000000006
5,"NAmes",2.0,"Gtl",1086,0,"RL","WD",404.0,2003,"1Story","TA",144899.9999999999
3,"OldTown",1.0,"Gtl",1605,0,"RM","WD",840.0,1950,"2Story","Fa",107399.99999999999
4,"MeadowV",1.0,"Gtl",988,120,"RM","WD",0.0,1973,"SLvl","Gd",90999.99999999996
4,"NAmes",1.0,"Gtl",952,0,"RL","WD",724.0,1956,"1Story","TA",135750.00000000003
5,"BrkSide",1.0,"Gtl",1285,0,"RM","WD",295.0,2001,"1.5Fin","TA",126999.99999999996
4,"Sawyer",0.0,"Gtl",1768,0,"RL","WD",1768.0,1968,"1Story","TA",136500.0000000001
5,"OldTown",2.0,"Gtl",1230,74,"RM","WD",440.0,1981,"2Story","TA",109999.99999999991
6,"NAmes",1.0,"Gtl",2142,0,"RL","WD",448.0,1968,"2Story","Gd",193499.99999999997
